Type;FSP;
Version;4.50;
Date;25.Mar 25;
Mode;ANALYZER;
Center Freq;1063640000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1063640000.000000;Hz
Stop;1063640000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
RBW;10.000000;Hz
VBW;30.000000;Hz
SWT;80.000000;s
Trace Mode;CLR/WRITE;
Detector;SAMPLE;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;NOT AVAILABLE;
Transducer;OFF;
Values;501;
8;-53.583732604980469;
8.1600000000000001;-53.5843505859375;
8.3200000000000003;-53.574756622314453;
8.4800000000000004;-53.576953887939453;
8.6400000000000006;-53.537803649902344;
8.8000000000000007;-53.48236083984375;
8.9600000000000009;-53.347213745117187;
9.120000000000001;-53.195594787597656;
9.2799999999999994;-53.071689605712891;
9.4399999999999995;-52.933010101318359;
9.5999999999999996;-52.809066772460937;
9.7599999999999998;-52.669647216796875;
9.9199999999999999;-52.531887054443359;
10.08;-52.391441345214844;
10.24;-52.276832580566406;
10.4;-52.182804107666016;
10.56;-52.076148986816406;
10.720000000000001;-51.943920135498047;
10.880000000000001;-51.840938568115234;
11.040000000000001;-51.729339599609375;
11.200000000000001;-51.628009796142578;
11.359999999999999;-51.495388031005859;
11.52;-51.381416320800781;
11.68;-51.27532958984375;
11.84;-51.163326263427734;
12;-51.033687591552734;
12.16;-50.949016571044922;
12.32;-50.851654052734375;
12.48;-50.778736114501953;
12.640000000000001;-50.669578552246094;
12.800000000000001;-50.532291412353516;
12.960000000000001;-50.460334777832031;
13.120000000000001;-50.394947052001953;
13.280000000000001;-50.362922668457031;
13.44;-50.218936920166016;
13.6;-50.236709594726562;
13.76;-50.111770629882813;
13.92;-49.931514739990234;
14.08;-49.983833312988281;
14.24;-49.752601623535156;
14.4;-49.649997711181641;
14.56;-49.3778076171875;
14.720000000000001;-49.507907867431641;
14.880000000000001;-49.848812103271484;
15.040000000000001;-48.816761016845703;
15.200000000000001;-48.021812438964844;
15.359999999999999;-47.643455505371094;
15.52;-47.658843994140625;
15.68;-48.711204528808594;
15.84;-49.597812652587891;
16;-48.279579162597656;
16.16;-47.026592254638672;
16.32;-47.210727691650391;
16.48;-47.400016784667969;
16.640000000000001;-47.285198211669922;
16.800000000000001;-47.008979797363281;
16.960000000000001;-46.805152893066406;
17.120000000000001;-46.698844909667969;
17.280000000000001;-46.833076477050781;
17.440000000000001;-46.793056488037109;
17.600000000000001;-46.705543518066406;
17.760000000000002;-46.660865783691406;
17.920000000000002;-46.700557708740234;
